Date,Open,High,Low,Close,Volume,Adj Close
2016-09-30,776.330017,780.940002,774.090027,777.289978,1580300,777.289978
2016-09-29,781.440002,785.799988,774.231995,775.01001,1301400,775.01001
2016-09-28,777.849976,781.809998,774.969971,781.559998,1107900,781.559998
2016-09-27,775.50,785.98999,774.307983,783.01001,1138800,783.01001
2016-09-26,782.73999,782.73999,773.070007,774.210022,1508500,774.210022
2016-09-23,786.590027,788.929993,784.150024,786.900024,1409500,786.900024
2016-09-22,780.00,789.849976,778.440002,787.210022,1463600,787.210022
2016-09-21,772.659973,777.159973,768.301025,776.219971,1151400,776.219971
2016-09-20,769.00,773.330017,768.530029,771.409973,975300,771.409973
2016-09-19,772.419983,774.00,764.440979,765.700012,1171100,765.700012
2016-09-16,769.75,769.75,764.659973,768.880005,2046000,768.880005
2016-09-15,762.890015,773.799988,759.960022,771.76001,1305100,771.76001
2016-09-14,759.609985,767.679993,759.109985,762.48999,1087400,762.48999
2016-09-13,764.47998,766.219971,755.799988,759.690002,1379900,759.690002
2016-09-12,755.130005,770.289978,754.00,769.02002,1286800,769.02002
2016-09-09,770.099976,773.244995,759.659973,759.659973,1812200,759.659973
2016-09-08,778.590027,780.349976,773.580017,775.320007,1260600,775.320007
2016-09-07,780.00,782.72998,776.200012,780.349976,893700,780.349976
2016-09-06,773.450012,782.00,771.00,780.080017,1439900,780.080017
2016-09-02,773.01001,773.919983,768.409973,771.460022,1069300,771.460022
